geoapify_place_id,name,address,postcode,borough,latitude,longitude,website,opening_hours,category
517d9770a22006bfbf5990aec08112c14940f00102f90143483e0c0000000092031354686520456d62616e6b6d656e742043616665,The Embankment Cafe,"The Embankment Cafe, 25 Victoria Embankment, London, WC2N 6PB, United Kingdom",WC2N 6PB,St Clement Danes,51.5083772,-0.1211873,,,wheelchair.yes
51733c8cd172dbc0bf592c6182357fc04940f00102f901824ae7030000000092031353742e204a616d6573e280997320436166c3a9,St. James’s Café,"St. James’s Café, The Mall, London, SW1Y 5AA, United Kingdom",SW1Y 5AA,St. James's,51.5038569,-0.1316808,https://www.royalparks.org.uk/visit/parks/st-jamess-park/st-jamess-cafe,Mo-Su 08:30-15:00,wheelchair.yes
512b60b4ff667cc0bf598dfa366974c14940f00102f901cf0f5d3b0000000092030d4372c3aa706561666661697265,Crêpeaffaire,"Crêpeaffaire, Cranbourn Street, London, WC2H 7JH, United Kingdom",WC2H 7JH,St. James's,51.511365,-0.1287965,https://www.crepeaffaire.com/locations/united-kingdom/2022/crepeaffaire-at-the-hippodrome,Mo-Su 11:00-20:00,catering.cafe
5129d3c32ba457c0bf5981e03b7b78c14940f00103f9013003f3230000000092030b43616666c3a8204e65726f,Caffè Nero,"Caffè Nero, 32 Cranbourn Street, London, WC2H 7AD, United Kingdom",WC2H 7AD,,51.5114893,-0.1276746,https://www.caffenero.com/uk/stores/cranbourn-st,Mo-Th 06:00-21:00; Fr 06:00-22:00; Sa 07:00-22:00; Su 08:00-19:00,wheelchair.yes
517a54fcdf1115c0bf59e314c20f73c14940f00103f9014dfb263c0300000092030e476f6e6720636820e8b2a2e88cb6,Gong ch 貢茶,"Gong cha, Garrick Street, London, WC2E 9BH, United Kingdom",WC2E 9BH,St Clement Danes,51.5113239,-0.125643,,,catering.cafe.tea
512cc4d963d817c0bf59d7f03ed873c14940f00103f901041afe390000000092030f4a6f65202620546865204a75696365,Joe & The Juice,"Joe & The Juice, Garrick Street, London, WC2E 9BH, United Kingdom",WC2E 9BH,St Clement Danes,51.5113478,-0.1257277,,,wheelchair.limited
512499d53bdc0ec1bf59f8510dfb3dc14940f00103f901b0937b230000000092030f43616666656520436f6e636572746f,Caffee Concerto,"Caffee Concerto, 45 Haymarket, London, SW1Y 4SE, United Kingdom",SW1Y 4SE,St. James's,51.509704,-0.133266,,,wheelchair.yes
518b4347bc862ac1bf59c1ef952f1ec14940f00103f901dc28a82301000000920305436f737461,Costa,"Costa, 15 Regent Street St James's, London, SW1Y 4LR, United Kingdom",SW1Y 4LR,St. James's,51.5087337,-0.1341103,,Mo-Fr 06:30-20:00; Sa 07:00-20:00; Su 07:30-19:00,catering.cafe.coffee_shop
51409589117816c1bf593cfa5fae45c14940f00103f901cdd03af901000000920312546865204861726420526f636b2043616665,The Hard Rock Cafe,"The Hard Rock Cafe, 225/229 Piccadilly, London, W1J 9HR, United Kingdom",W1J 9HR,St. James's,51.509939,-0.1334982,https://www.hardrockcafe.com/location/piccadilly-circus/,,wheelchair.yes
513b2d89fdaf84c0bf59ab0c3e2883c14940f00103f901a6b1b22703000000920311e5bea1e9bb91e5a0822059756e69717565,御黑堂 Yunique,"Yunique, 10 Little Newport Street, London, WC2H 7JJ, United Kingdom",WC2H 7JJ,,51.5118151,-0.1290493,,,catering.cafe.tea
510260e1c913adc0bf597ee200fa7dc14940f00103f901b430fbe4000000009203094d6f6c6c7920546561,Molly Tea,"Molly Tea, 21 Lisle Street, London, WC2H 7BA, United Kingdom",WC2H 7BA,,51.511657,-0.1302819,,,catering.cafe.tea
51c6f0225d7d86c0bf595cab3dec85c14940f00103f9019fb1b227030000009203084375707061636861,Cuppacha,"Cuppacha, 23 Newport Court, London, WC2H 7JS, United Kingdom",WC2H 7JS,,51.5118995,-0.1291043,,,catering.cafe.tea
51bbc50d092989c0bf597a4e1f2686c14940f00103f9019eb1b2270300000092030b4861707079204c656d6f6e,Happy Lemon,"Happy Lemon, 24A Newport Court, London, WC2H 7JS, United Kingdom",WC2H 7JS,,51.5119064,-0.1291858,,,catering.cafe.tea
511ca741801127c0bf59a62026f486c14940f00102f90191d5af21000000009203084261676572696574,Bageriet,"Bageriet, 24 Rose Street, London, WC2E 9EA, United Kingdom",WC2E 9EA,,51.5119309,-0.1261921,https://www.bageriet.co.uk/,Mo-Fr 09:00-19:00; Sa 10:00-19:00,catering.cafe.cake
518d68965f611cc1bf5949754bbc4dc14940f00103f901accd6d020100000092030c53696d697420536172617969,Simit Sarayi,"Simit Sarayi, 1 Piccadilly Circus, London, W1J 0DA, United Kingdom",W1J 0DA,St. James's,51.5101848,-0.1336786,https://www.simitsarayi.com/,,catering.cafe
511a25f95b4c7dc0bf595586713788c14940f00103f901e8126b2203000000920313e5b08fe7a1aee88cb6204c75636b7920546561,小确茶 Lucky Tea,"Lucky Tea, Newport Court, London, WC2H 7PQ, United Kingdom",WC2H 7PQ,,51.5119695,-0.1288238,,,catering.cafe.tea
51237722d2808bc0bf59a357039486c14940f00103f901316b7727030000009203074a6f7920546561,Joy Tea,"Joy Tea, 25-26 Newport Court, London, WC2H 7JS, United Kingdom",WC2H 7JS,,51.5119195,-0.1292573,,,catering.cafe.tea
51dae78c83a680c0bf597329537188c14940f00103f901e9126b220300000092030ee68abfe88cb6204d696e20546561,抿茶 Min Tea,"Min Tea, Newport Court, London, WC2H 7PQ, United Kingdom",WC2H 7PQ,,51.5119764,-0.1289261,,,catering.cafe.tea
5109ab0c3e2883c0bf597357659588c14940f00103f9018a4bfa44010000009203145453554a495249204d617463686120486f757365,TSUJIRI Matcha House,"TSUJIRI Matcha House, 33 Newport Court, London, WC2H 7PQ, United Kingdom",WC2H 7PQ,,51.5119807,-0.1290026,http://tsujiri.co.uk,Su-Th 12:00-22:30; Fr-Sa 12:00-23:00,catering.cafe.tea
51fc532bbc0b92c0bf59d66656ef86c14940f00102f901724b343b000000009203094a656e20436166c3a9,Jen Café,"Jen Café, 4-8 Newport Place, London, WC2H 7JP, United Kingdom",WC2H 7JP,,51.5119293,-0.1294565,,Mo-Sa 11:30-21:00,wheelchair.yes
51bb8d171c6f3cc0bf598fda69108bc14940f00103f90111a7a2ad0100000092030f43616666c3a820436f6e636572746f,Caffè Concerto,"Caffè Concerto, 143 Long Acre, London, WC2E 9AD, United Kingdom",WC2E 9AD,St Clement Danes,51.5120564,-0.1268443,https://www.caffeconcerto.co.uk/locations/united-kingdom/central-london/caffe-concerto-covent-garden,,vegetarian
51b82c150ac7e2c0bf5955bc36c071c14940f00103f90178b1b2270300000092030ee4b98ce58fb620576f6f20546561,乌叶 Woo Tea,"Woo Tea, 26 Wardour Street, London, W1D 6QL, United Kingdom",W1D 6QL,,51.5112839,-0.1319207,,,catering.cafe.tea
